Time,CHDMC006,CHSWP003,CHVCT000,OLD_MID,ROLD024,ROLD059,RSAC064,RSAC075,RSAC081,RSAC092,RSAN007,RSAN018,RSAN032,RSAN037,RSAN058,RSAN072,RSMKL008,SLCBN002,SLDUT007,SLMZU011,SLMZU025,SLSUS012,SLTRM004
1/3/1990,9.302183395,9.144660309,7.965327909,279.9024309,5.022442172,23.55939207,7485.229012,513.5072143,23.74998832,0.687058485,0.838357782,1.594079894,2.931978125,2.103742761,3.880308645,1.352037488,10.19991457,0.306690745,16.40853909,0.103599736,10.24938811,1.522516529,1.97280924
1/4/1990,16.22754325,12.3050979,11.62236564,1052.803139,5.898604045,101.8402537,8502.575785,1298.565437,173.6753714,1.797359281,5.920539772,2.736425407,12.24259771,3.979605402,6.546014597,6.660643255,14.45433036,9.784935722,22.08072552,4.917906099,88.39159098,9.513126334,3.423704058
1/5/1990,63.17338748,30.05422932,15.39784162,1041.016457,7.714239985,638.4045871,9880.312347,2494.73054,612.1624662,6.656318882,51.32626632,3.895367121,52.96989167,10.97011702,10.0142844,20.57749349,32.66019939,122.5764592,24.76976591,40.01672378,366.7401996,40.10652045,5.7442892
1/6/1990,148.7130323,137.9110673,16.38190048,1018.534921,10.11864456,947.4643529,11746.51846,3993.909235,1309.891171,32.18077812,218.4648552,6.084484488,62.4924092,22.92728599,14.12270399,25.50597513,92.45593393,395.7791729,23.67583661,173.1958091,954.718476,115.3190719,9.565878431
1/7/1990,194.6366526,155.6997628,16.21444049,986.3367497,14.65979648,974.3946902,14413.62853,5845.588062,2379.992016,109.0013614,591.7939956,15.78176249,62.00148508,33.66328631,18.46349082,29.9772356,122.8369132,921.7224368,20.92179342,493.328124,1746.931388,301.4053202,20.38299728
1/8/1990,210.5337088,153.552356,16.4150319,1038.439653,19.98760124,925.7427451,16028.71822,7443.407895,3466.505277,235.4892195,1085.695921,45.07924561,65.9626434,41.65031387,22.64059432,36.9671757,124.9913151,1618.988039,20.84525123,1053.648429,2685.599931,623.0102957,37.91618411
1/9/1990,245.3016905,176.1954044,18.13267875,1019.164929,24.2455734,874.0973956,15544.23248,8105.639732,4007.845013,325.6207124,1384.476133,80.07320603,73.43558598,49.20590202,25.84945343,55.30800045,128.9691697,2292.582412,23.67625048,1827.115545,3344.944742,968.5006172,53.99124114
1/10/1990,274.5084613,184.6944363,21.40922485,1049.647476,28.84862347,868.7094816,15398.39382,8391.017428,4349.226471,378.4861658,1637.995347,121.1795447,81.7847565,58.10592814,29.13520851,53.2851934,132.4132679,2771.393129,29.44929804,2565.738963,3720.168655,1441.543192,73.41338716
1/11/1990,272.8744792,183.7574637,26.17726986,1034.423089,34.96011442,928.8886445,15434.68502,8740.876994,4575.772402,396.9737967,1917.320682,189.0358985,83.1628861,67.46169094,32.85356206,50.98706289,133.9207126,3582.233229,40.27379719,3095.13236,3930.031059,2077.887821,97.14448516
1/12/1990,273.1756496,195.0246137,32.15708452,1015.781509,42.75441309,947.8575789,15508.03499,9028.558362,4839.346432,396.5169584,2267.632444,321.3202528,78.14713681,72.3521723,36.75903984,45.88571886,134.2747416,4514.649982,57.72286069,3480.960836,4184.500455,2655.56402,127.0806752
1/13/1990,273.6349756,209.9336371,40.53643163,1001.408684,52.35316821,937.0731017,15778.15057,8943.915393,4750.230831,359.0284996,2342.875163,411.8653232,84.49108028,76.35327228,40.28230639,42.10251876,138.097765,4679.717041,87.423425,3795.010434,4516.937625,2891.762674,152.3414744
1/14/1990,376.0141387,247.8880892,51.6754179,1070.69324,62.8571858,948.5479469,13757.25453,7589.906364,3483.945941,232.4256595,1895.345271,379.5073709,97.4255236,81.97929637,41.85188333,56.4952877,144.7950862,3647.329463,122.4110848,4049.125455,4174.656413,2765.231561,152.2319797
1/15/1990,382.5680021,234.4266239,62.26603301,1135.070867,73.53213573,1027.465015,11668.06388,5864.128835,2273.032604,163.0334068,1453.93807,340.4949643,106.518759,88.86884785,43.31855579,137.2272052,148.0560225,2593.726869,154.9830623,3872.534864,2795.956902,2611.217636,147.6818508
1/16/1990,358.7246393,181.0858692,72.40870436,1117.266403,85.18163506,1084.326764,10201.22443,4667.498801,1626.89911,155.3384116,1199.14357,359.2309599,126.161696,98.18634772,47.01195319,195.0372907,149.4040554,2254.504439,184.3749383,3072.491351,1951.328747,2590.975329,163.9723881
1/17/1990,433.5339912,188.9899802,82.94090422,1090.508753,96.68868089,1103.088818,8388.436727,3085.122651,947.5459604,159.1978033,983.4426594,321.9009446,137.2910186,106.7924099,49.6501807,306.693097,166.4281255,1809.916958,203.1146957,2251.162486,1324.735826,2415.569865,169.7303071
